,brand,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price
4795,Volkswagen,9,47123,Dealer,Petrol,Manual,15.04,1598,103.6,5,311000
4796,Renault,4,29000,Dealer,Petrol,Automatic,24.04,999,67,5,400000
4797,Honda,4,14000,Dealer,Petrol,Automatic,18.2,1199,88.7,5,680000
4798,Mahindra,4,35000,Dealer,Diesel,Manual,16,2179,140,7,1395000
4799,Hyundai,11,69000,Dealer,Petrol,Manual,18.5,1197,80,5,245000
4800,Mahindra,12,80000,Dealer,Diesel,Manual,12.05,2179,120,8,400000
4801,Mahindra,9,65253,Dealer,Diesel,Manual,12.05,2179,120,8,448000
4802,Skoda,5,78010,Dealer,Diesel,Automatic,21.66,1498,103.52,5,660000
4803,Hyundai,4,17500,Individual,Petrol,Manual,18.9,1197,81.86,5,500000
4804,Renault,5,21000,Dealer,Petrol,Manual,22.3,799,53.26,5,300000
4806,Maruti,6,28000,Dealer,Petrol,Manual,18.9,998,67.1,5,390000
4807,Hyundai,8,70000,Dealer,Diesel,Automatic,22.32,1582,126.3,5,480000
4808,Datsun,3,3200,Dealer,Petrol,Automatic,23,999,67,5,346000
4809,Maruti,7,56000,Dealer,CNG,Manual,31.79,998,58.2,5,340000
4810,Maruti,6,56400,Individual,CNG,Manual,22.8,1373,80.9,7,678000
4811,Honda,6,190000,Individual,Diesel,Manual,25.8,1498,98.6,5,295000
4812,Tata,4,100000,Individual,Diesel,Manual,14.1,2179,153.86,7,900000
4813,Honda,6,24000,Dealer,Petrol,Automatic,18,1497,117.3,5,825000
4814,Maruti,5,76000,Dealer,Diesel,Manual,24.52,1248,88.5,7,825000
4815,Mahindra,4,70000,Individual,Diesel,Manual,16.5,1493,70,7,700000
4816,Hyundai,6,112300,Individual,Petrol,Manual,18.6,1197,81.83,5,535000
4817,Skoda,7,66000,Dealer,Diesel,Automatic,21.66,1498,103.52,5,580000
4818,Hyundai,8,61000,Dealer,Diesel,Manual,24,1120,70,5,425000
4819,Mahindra,15,120000,Individual,Diesel,Manual,12.7,2609,116.6,8,300000
4821,Maruti,3,28314,Dealer,Petrol,Manual,23.1,998,67.04,5,490000
4822,Hyundai,11,23000,Dealer,Petrol,Manual,17,1197,80,5,275000
4823,Hyundai,1,4000,Dealer,Petrol,Automatic,18.15,998,118.35,5,1185000
4824,Mahindra,5,42485,Dealer,Diesel,Manual,16,2179,140,7,1350000
4825,Volkswagen,6,87000,Dealer,Petrol,Automatic,17.21,1197,103.5,5,600000
4826,Hyundai,6,15000,Dealer,Petrol,Automatic,18.9,1197,81.86,5,525000
4827,Tata,3,2500,Dealer,Petrol,Automatic,23.84,1199,84,5,495000
4828,Maruti,3,29000,Dealer,CNG,Manual,33.44,796,40.3,4,345000
4829,Hyundai,6,54625,Trustmark Dealer,Petrol,Manual,18.6,1197,81.83,5,595000
4830,Hyundai,2,8000,Dealer,Petrol,Automatic,17,1591,121.3,5,1250000
4831,Maruti,19,120000,Individual,Petrol,Manual,18.9,1061,47,5,50000
4832,BMW,4,21119,Dealer,Diesel,Automatic,16.46,2993,258,5,7500000
4833,Toyota,2,35000,Dealer,Diesel,Manual,13.68,2393,147.51,7,2000000
4835,Maruti,3,32000,Dealer,Petrol,Manual,17.5,1373,91.1,7,810000
4836,Jaguar,10,45000,Individual,Diesel,Automatic,14.74,2993,270.9,5,2800000
4837,BMW,5,46000,Dealer,Diesel,Automatic,15.97,2993,258,5,3850000
4838,Maruti,9,73000,Dealer,Diesel,Manual,22.9,1248,74,5,385000
4839,Maruti,4,23000,Dealer,Petrol,Manual,21.01,1197,81.8,5,600000
4840,Maruti,8,120000,Individual,Diesel,Manual,23.4,1248,74,5,475000
4841,Hyundai,8,30588,Dealer,Petrol,Manual,16.2,1599,103.2,5,490000
4842,Hyundai,3,14577,Dealer,Petrol,Manual,18.6,1197,81.83,5,625000
4844,Maruti,6,55000,Dealer,Petrol,Manual,22,1197,81.8,5,530000
4845,Ferrari,2,3800,Dealer,Petrol,Automatic,4,3855,601,4,39500000
4846,Maruti,3,33000,Dealer,Diesel,Manual,28.09,1248,88.5,5,1000000
4847,Ford,8,55000,Individual,Diesel,Manual,20,1399,68.1,5,250000
4849,Honda,5,90000,Dealer,Petrol,Automatic,18,1497,117.3,5,725000
4850,Maruti,3,6800,Dealer,Petrol,Manual,23.95,998,67.05,5,375000
4851,Mahindra,8,68192,Dealer,Diesel,Manual,15.1,2179,140,7,699000
4852,Toyota,11,105000,Dealer,Petrol,Manual,12.4,1998,132,8,675000
4854,Volkswagen,7,52455,Dealer,Diesel,Manual,20.54,1598,103.6,5,565000
4855,Hyundai,7,66266,Dealer,Diesel,Manual,21.27,1396,88.76,5,545000
4856,Maruti,6,100000,Dealer,CNG,Manual,22.8,1373,80.9,7,650000
4857,Maruti,5,41974,Dealer,Diesel,Manual,24.52,1248,88.5,7,811000
4858,Porsche,7,110000,Dealer,Diesel,Automatic,15.15,2967,240,5,4500000
4860,Maruti,5,84000,Dealer,Diesel,Manual,24.52,1248,88.5,7,825000
4861,Maruti,9,106000,Individual,Diesel,Manual,19.3,1248,73.9,5,370000
4863,Maruti,2,25000,Individual,Petrol,Manual,15.37,1196,73,5,411000
4864,Honda,7,63762,Dealer,Diesel,Manual,25.1,1498,98.6,5,650000
4866,Kia,2,11800,Dealer,Diesel,Automatic,17.8,1493,113.4,5,1810000
4868,Audi,9,76000,Dealer,Diesel,Automatic,16.55,1968,140,5,1375000
4869,Hyundai,9,56328,Dealer,Diesel,Manual,21.9,1396,88.76,5,370000
4870,Tata,2,19247,Dealer,Petrol,Automatic,24,1199,83.81,5,550000
4871,Mahindra,6,42000,Dealer,Diesel,Manual,15.1,2179,140,7,950000
4872,Toyota,4,67000,Dealer,Diesel,Manual,13.68,2393,147.8,7,1550000
4873,Hyundai,5,67817,Dealer,Petrol,Manual,20.36,1197,78.9,5,465000
4874,Maruti,6,40000,Dealer,Petrol,Manual,20.73,1373,91.1,5,715000
4875,Maruti,4,3600,Individual,Petrol,Manual,24.7,796,47.3,5,318000
4876,Honda,6,73000,Dealer,Petrol,Manual,18,1198,86.7,5,450000
4877,Toyota,8,75000,Dealer,Diesel,Automatic,12.55,2982,168.5,7,1525000
4878,Maruti,12,52755,Individual,LPG,Manual,17.3,1061,57.5,5,233000
4879,Tata,4,186000,Individual,Diesel,Manual,17.6,2179,153.86,7,1220000
4880,Maruti,5,90000,Individual,Diesel,Manual,24.3,1248,88.5,5,750000
4881,Maruti,4,30000,Individual,Petrol,Manual,20.89,1197,81.8,5,500000
4882,BMW,9,95000,Dealer,Diesel,Automatic,11,2993,235,5,2150000
4883,Hyundai,10,73000,Dealer,Petrol,Manual,19.81,1086,68.05,5,375000
4884,Hyundai,5,40000,Individual,Petrol,Manual,18.9,1197,82,5,485000
4885,Datsun,4,58000,Individual,Petrol,Manual,20.63,1198,67.06,5,360000
4886,Maruti,5,71000,Dealer,Petrol,Manual,20.73,1373,91.1,5,600000
4887,Ford,5,71500,Dealer,Diesel,Manual,21.7,1498,98.96,5,690000
4888,Maruti,8,71200,Dealer,Diesel,Manual,19.3,1248,73.9,5,465000
4889,Maruti,5,41000,Dealer,Diesel,Manual,28.09,1248,88.5,5,750000
4891,Hyundai,8,65512,Dealer,Diesel,Manual,22.32,1582,126.32,5,585000
4892,Ford,6,37000,Dealer,Petrol,Automatic,15.63,1499,110.4,5,665000
4893,Tata,2,20000,Individual,Diesel,Manual,17,1956,138.1,5,1750000
4895,Mahindra,6,51000,Dealer,Diesel,Manual,15.4,2523,75,9,760000
4896,Hyundai,10,50000,Individual,Petrol,Manual,17.92,1086,62.1,5,250000
4897,Hyundai,3,11510,Dealer,Diesel,Manual,24,1186,73.97,5,550000
4898,Mahindra,7,100000,Individual,Diesel,Manual,15.4,2179,120,8,800000
4899,Mahindra,4,50000,Dealer,Diesel,Manual,25.32,1198,77,6,490000
4900,Maruti,7,117962,Individual,Diesel,Manual,25.2,1248,74,5,480000
4901,Maruti,5,115000,Dealer,Diesel,Manual,28.09,1248,88.5,5,655000
4902,Hyundai,4,50000,Individual,Diesel,Manual,19.67,1582,126.2,5,1100000
4903,Maruti,3,1300,Dealer,Petrol,Automatic,21.4,1197,83.1,5,890000
4904,Jaguar,6,29000,Dealer,Diesel,Automatic,16.36,2179,187.7,5,3200000
4905,Hyundai,10,94000,Dealer,Petrol,Automatic,16.95,1197,78.9,5,355000
4906,Maruti,9,43500,Individual,Diesel,Manual,19.3,1248,73.9,5,420000
4907,Maruti,7,20903,Dealer,CNG,Manual,32.52,998,58.33,5,410000
4908,Maruti,7,30000,Individual,Petrol,Manual,15.37,1196,73,5,250000
4909,Tata,4,80000,Individual,Petrol,Manual,23.84,1199,84,5,420000
4910,Hyundai,7,103247,Dealer,Diesel,Manual,22.32,1582,126.32,5,740000
4911,Honda,13,100000,Individual,Petrol,Manual,17.7,1497,78,5,225000
4912,Mercedes-Benz,12,107591,Dealer,Diesel,Automatic,11,2987,198.5,5,1200000
4913,Hyundai,1,15000,Individual,Diesel,Manual,22.1,1396,88.7,5,1350000
4914,Maruti,4,9691,Dealer,Diesel,Manual,28.4,1248,74.02,5,822000
4915,Renault,5,87000,Dealer,Petrol,Manual,22.3,799,53.26,5,325000
4917,Renault,5,37000,Individual,Petrol,Manual,25.17,799,53.3,5,350000
4919,Maruti,10,46700,Dealer,Diesel,Manual,22.9,1248,74,5,270000
4920,Mercedes-Benz,3,47000,Dealer,Diesel,Automatic,11,2987,258,7,6600000
4922,Mercedes-Benz,9,50000,Individual,Diesel,Automatic,13.5,2987,282,5,3000000
4925,Honda,6,120000,Individual,Diesel,Manual,26,1498,98.6,5,600000
4926,Hyundai,10,45000,Dealer,Petrol,Automatic,19.2,1197,80,5,385000
4927,Honda,3,69000,Dealer,Diesel,Automatic,23.8,1498,78.9,5,860000
4929,Honda,2,30000,Individual,Diesel,Manual,27.4,1498,98.63,5,700000
4930,Hyundai,2,40000,Individual,Petrol,Manual,18.6,1197,81.86,5,750000
4933,Tata,13,60000,Individual,Diesel,Manual,11.57,2179,138.1,7,190000
4934,Maruti,5,49000,Dealer,Petrol,Manual,21.21,1197,81.8,5,490000
4935,Maruti,9,70000,Individual,Petrol,Manual,19.7,796,46.3,5,200000
4936,Renault,6,70000,Dealer,Diesel,Manual,19.64,1461,108.45,5,775000
4937,Tata,2,18900,Dealer,Petrol,Automatic,23.84,1199,83.83,5,550000
4938,Hyundai,9,15000,Individual,Petrol,Manual,20.36,1197,78.9,5,400000
4939,Maruti,6,133000,Individual,Diesel,Manual,20.77,1248,88.76,7,650000
4941,Maruti,4,34000,Dealer,Diesel,Manual,24.3,1248,88.5,5,950000
4942,Hyundai,4,30700,Dealer,Diesel,Manual,23.9,1582,126.2,5,925000
4943,Kia,2,5000,Individual,Diesel,Manual,20.8,1493,113.4,5,1549000
4945,Maruti,3,21500,Individual,Petrol,Manual,21.21,1197,81.8,5,650000
4946,Maruti,9,55294,Individual,Petrol,Manual,20.92,998,67.1,5,251000
4947,Maruti,3,10000,Individual,Diesel,Manual,28.4,1248,74.02,5,800000
4948,Maruti,8,20000,Individual,Petrol,Manual,18.6,1197,85.8,5,350000
4950,Toyota,6,78000,Dealer,Diesel,Manual,12.99,2494,100.6,8,1030000
4952,Maruti,12,77000,Individual,Petrol,Manual,18.9,1061,67,5,150000
4953,Maruti,7,72859,Dealer,Diesel,Manual,20.77,1248,88.8,7,600000
4954,Ford,7,77984,Dealer,Diesel,Manual,22.7,1498,89.84,5,565000
4955,Mercedes-Benz,7,70000,Individual,Diesel,Automatic,14.84,2143,170,5,1350000
4959,Skoda,9,163971,Dealer,Diesel,Manual,20.5,1598,103.5,5,450000
4960,Hyundai,7,43000,Dealer,Petrol,Manual,18.9,1197,82,5,380000
4961,Audi,9,129000,Dealer,Diesel,Automatic,12.07,2967,241.4,7,1950000
4962,Mahindra,9,75000,Dealer,Diesel,Manual,15.96,2523,62.1,7,435000
4964,Mahindra,2,16000,Dealer,Diesel,Manual,16.55,2498,105,6,970000
4965,Ford,7,60000,Dealer,Diesel,Manual,20,1399,68.05,5,250000
4966,Volkswagen,2,37326,Dealer,Petrol,Manual,18.78,999,75,5,550000
4967,Maruti,7,48255,Dealer,Petrol,Manual,22.74,796,47.3,5,250000
4968,Maruti,5,45215,Dealer,Petrol,Automatic,21.4,1197,83.1,5,698000
4969,Renault,4,33000,Dealer,Petrol,Automatic,24.04,999,67,5,395000
4970,Mahindra,10,156000,Dealer,Diesel,Manual,12.05,2179,120,8,565000
4971,Hyundai,4,20000,Individual,Petrol,Manual,17.7,1591,121.3,5,775000
4972,Maruti,2,57000,Individual,Diesel,Manual,28.4,1248,74.02,5,750000
4973,Mahindra,11,350000,Individual,Diesel,Manual,13.6,2523,63,7,325000
4974,Honda,1,2000,Dealer,Petrol,Manual,17.8,1498,119.35,5,1000000
4975,Hyundai,2,31700,Individual,Diesel,Manual,19.67,1582,126.2,5,1350000
4977,Honda,4,59000,Dealer,Petrol,Automatic,18,1497,117.6,5,900000
4978,Isuzu,4,51000,Individual,Diesel,Manual,12.4,2499,134,5,1250000
4979,Maruti,6,77500,Individual,Diesel,Manual,26.59,1248,74,5,480000
4980,Maruti,2,8000,Individual,Petrol,Manual,21.21,1197,81.8,5,539000
4981,Ford,4,24000,Dealer,Diesel,Manual,25.83,1498,99,5,690000
4983,Ford,3,18890,Dealer,Diesel,Manual,23,1498,98.96,5,1025000
4984,Hyundai,3,5000,Individual,Petrol,Manual,18.9,1197,81.86,5,525000
4986,Hyundai,9,41000,Dealer,Petrol,Automatic,19.2,1197,80,5,385000
4987,Maruti,7,40330,Individual,Petrol,Manual,20.51,998,67.04,5,290000
4988,BMW,2,40000,Dealer,Diesel,Automatic,19.62,1998,192,5,3450000
4989,Skoda,5,98000,Dealer,Diesel,Manual,21.14,1498,103.52,5,635000
4990,BMW,7,66000,Dealer,Diesel,Automatic,16.09,1995,184,5,2675000
4991,Tata,3,50000,Individual,Diesel,Manual,21.5,1497,108.5,5,950000
4992,Maruti,3,36000,Dealer,Petrol,Automatic,23.1,998,67.04,5,545000
4995,Ford,7,77000,Dealer,Diesel,Manual,20,1399,68.05,5,325000
4996,Maruti,5,58802,Dealer,Petrol,Manual,18.9,998,67.1,5,425000
4997,Ford,3,38959,Dealer,Diesel,Manual,23,1498,98.96,5,825000
4999,Maruti,3,37000,Dealer,Petrol,Manual,24.7,796,47.3,5,349000
5000,Volkswagen,6,56000,Dealer,Petrol,Automatic,18.19,1197,103.2,5,750000
5001,Maruti,8,91000,Dealer,Diesel,Manual,23.4,1248,74,5,580000
5002,Toyota,11,110000,Dealer,Diesel,Manual,11.5,2982,171,7,1250000
5003,Volkswagen,4,100000,Individual,Diesel,Manual,20.14,1498,88,5,615000
5004,Hyundai,9,68000,Dealer,Petrol,Automatic,16.95,1197,78.9,5,370000
5006,Maruti,14,78000,Dealer,Petrol,Manual,18.9,998,67.1,5,160000
5007,Maruti,2,20000,Individual,Petrol,Manual,23.95,998,67.05,5,370000
5008,Audi,10,85000,Individual,Diesel,Automatic,17.68,1968,174.33,5,1550000
5010,Hyundai,8,60000,Dealer,Diesel,Automatic,19.5,1582,126.24,5,750000
5011,Hyundai,5,30000,Individual,Petrol,Manual,18.6,1197,81.83,5,600000
5013,Hyundai,4,34800,Dealer,Petrol,Manual,13,1591,121.3,5,1150000
5014,Skoda,4,30000,Dealer,Petrol,Automatic,14.67,1798,177.46,5,1950000
5015,Honda,8,38000,Dealer,Petrol,Manual,17.8,1497,117.3,5,575000
5016,Toyota,6,124000,Dealer,Diesel,Manual,13,2982,168.5,7,1700000
5018,Ford,9,70000,Individual,Diesel,Manual,20,1399,68,5,195000
5019,Hyundai,5,50979,Dealer,Petrol,Manual,19.81,1086,68.05,5,445000
5020,Maruti,5,65000,Dealer,Diesel,Manual,24.52,1248,88.5,7,700000
5021,Maruti,6,45782,Dealer,Diesel,Manual,19.3,1248,73.9,5,410000
5022,Toyota,13,270000,Individual,Diesel,Manual,12.8,2494,102,8,500000
5023,Maruti,4,26917,Dealer,Petrol,Manual,21.01,1197,81.8,5,645000
5024,Maruti,11,35000,Individual,Petrol,Manual,19.7,796,46.3,5,115000
5025,BMW,8,90000,Dealer,Diesel,Automatic,18.88,1995,184,5,1375000
5026,Skoda,11,154667,Dealer,Diesel,Automatic,17.2,1968,138.1,5,575000
5027,Maruti,8,15000,Individual,Petrol,Manual,22.74,796,47.3,5,262000
5028,Honda,4,70000,Dealer,Diesel,Manual,27.3,1498,98.6,5,625000
5029,Maruti,4,83000,Dealer,Diesel,Manual,24.3,1248,88.5,5,785000
5030,Maruti,6,61000,Individual,Diesel,Manual,26.59,1248,74,5,510000
5031,Maruti,13,64521,Dealer,Petrol,Manual,14,1061,64,5,205000
5032,Maruti,3,11000,Individual,Diesel,Manual,24.3,1248,88.5,5,900000
5033,Hyundai,8,70000,Individual,Diesel,Manual,22.32,1582,126.3,5,550000
5034,Kia,2,6000,Individual,Petrol,Manual,16.1,1353,138,5,1635000
5035,Ford,3,25000,Individual,Diesel,Automatic,10.91,3198,197,7,3000000
5036,Toyota,5,139000,Individual,Diesel,Manual,12.99,2494,100.6,8,1150000
5037,Maruti,10,69001,Dealer,Petrol,Manual,17.3,1061,64,5,290000
5039,Maruti,3,20000,Individual,Petrol,Manual,22,1197,81.8,5,610000
5040,Maruti,4,56000,Dealer,Diesel,Manual,24.3,1248,88.5,5,814000
5041,Maruti,9,60000,Dealer,Diesel,Manual,22.9,1248,74,5,390000
5042,Hyundai,9,67000,Dealer,Diesel,Automatic,19.08,1582,126.32,5,650000
5043,Mercedes-Benz,10,82000,Dealer,Diesel,Automatic,13.5,2987,254.79,5,2450000
5044,Mahindra,8,70000,Individual,Diesel,Manual,15.1,2179,140,7,600000
5046,Hyundai,5,91288,Dealer,Diesel,Manual,24,1120,70,5,583000
5048,Mercedes-Benz,9,112000,Dealer,Diesel,Automatic,14.84,2143,167.62,5,1450000
5049,Ford,5,75000,Individual,Petrol,Manual,18.16,1196,86.8,5,395000
5050,Mahindra,6,67000,Dealer,Diesel,Manual,15.4,2179,120,7,925000
5052,Hyundai,3,5000,Individual,Petrol,Manual,18.6,1197,81.83,5,750000
5053,Honda,17,79000,Dealer,Petrol,Automatic,16.8,1497,116.4,5,145000
5054,Honda,8,31000,Dealer,Petrol,Manual,17,1497,118,5,560000
5056,Renault,5,44213,Dealer,Diesel,Manual,19.6,1461,108.45,5,745000
5057,Maruti,3,30000,Individual,Petrol,Automatic,21.4,1197,83.1,5,700000
5059,Honda,2,8000,Dealer,Diesel,Manual,27.4,1498,98.63,5,875000
5060,BMW,5,76000,Dealer,Diesel,Automatic,22.69,1995,190,5,2700000
5061,Maruti,5,68429,Dealer,Diesel,Manual,26.21,1248,88.5,5,797000
5063,Hyundai,5,46861,Dealer,Petrol,Automatic,18.9,1197,82,5,571000
5064,Honda,5,59000,Dealer,Diesel,Manual,25.8,1498,98.6,5,565000
5065,Honda,5,33980,Dealer,Petrol,Manual,18.7,1199,88.7,5,630000
5066,Maruti,2,25500,Individual,Petrol,Manual,21.21,1197,81.8,5,600000
5067,Maruti,11,51479,Dealer,Petrol,Manual,19.7,796,46.3,5,195000
5068,Maruti,5,30000,Individual,Petrol,Automatic,21.4,1197,83.1,5,620000
5069,Tata,3,87000,Dealer,Diesel,Manual,21.5,1497,108.5,5,735000
5070,Maruti,4,40000,Individual,Diesel,Manual,25.2,1248,74,5,650000
5071,Renault,3,30000,Individual,Petrol,Manual,25.17,799,53.3,5,320000
5072,Honda,3,29000,Dealer,Diesel,Manual,25.1,1498,98.6,5,1100000
5073,Datsun,2,10000,Individual,Petrol,Manual,19.83,1198,67,5,444000
5074,Hyundai,6,69300,Dealer,Petrol,Automatic,18.9,1197,82,5,475000
5075,Toyota,11,142800,Dealer,Diesel,Manual,12.8,2494,102,8,790000
5076,Hyundai,4,37850,Dealer,Petrol,Manual,18.9,1197,81.86,5,568000
5077,Maruti,5,52361,Dealer,Petrol,Manual,23.95,998,67.05,5,350000
5078,Mahindra,3,70000,Individual,Diesel,Manual,16.36,2179,140,7,1500000
5080,Honda,3,19790,Dealer,Petrol,Manual,17.5,1199,88.7,5,770000
5081,Mahindra,6,68200,Dealer,Diesel,Manual,16,2179,140,7,1250000
5082,Toyota,8,140000,Individual,Diesel,Manual,12.99,2494,100,7,850000
5084,Maruti,9,79000,Dealer,Diesel,Manual,28.4,1248,74,5,425000
5085,Maruti,3,43875,Dealer,Petrol,Automatic,21.4,1197,83.1,5,580000
5087,Maruti,3,100000,Individual,Diesel,Manual,19.3,1248,73.9,5,791000
5088,Skoda,6,69000,Dealer,Diesel,Manual,21.14,1498,103.52,5,555000
5090,Maruti,6,30000,Dealer,Petrol,Manual,20.73,1373,91.1,5,750000
5092,Mercedes-Benz,7,34000,Dealer,Petrol,Automatic,9.26,3498,301.8,4,3600000
5093,Renault,5,25000,Individual,Petrol,Manual,23.01,999,67,5,250000
5094,Maruti,6,68000,Dealer,Diesel,Manual,23.4,1248,74,5,495000
5095,BMW,5,13500,Dealer,Diesel,Automatic,22.69,1995,190,5,2275000
5096,Maruti,15,120000,Individual,Petrol,Manual,19.7,796,46.3,5,150000
5097,Mahindra,5,110000,Individual,Diesel,Automatic,16,2179,140,7,1025000
5099,Honda,3,40079,Dealer,Petrol,Manual,18.6,1199,88.76,5,780000
5100,Datsun,4,35000,Individual,Petrol,Manual,22.7,799,53.64,5,230000
5102,Volkswagen,6,63096,Dealer,Diesel,Manual,20.34,1498,103.2,5,690000
5103,Maruti,3,14774,Trustmark Dealer,Petrol,Manual,21.56,1462,103.25,5,840000
5105,Tata,4,74000,Dealer,Diesel,Manual,17.6,2179,153.86,7,1050000
5106,Maruti,11,110000,Individual,Diesel,Manual,17.8,1248,75,5,300000
5107,Renault,5,30000,Dealer,Petrol,Manual,25.17,799,53.3,5,345000
5109,Hyundai,9,70000,Individual,Petrol,Manual,19.81,1086,68.05,5,225000
5110,BMW,6,120000,Individual,Diesel,Automatic,14.69,2993,258,5,2200000
5112,Maruti,3,17000,Individual,Petrol,Automatic,23.1,998,67.04,5,500000
5113,Maruti,8,50000,Individual,Diesel,Manual,22.9,1248,74,5,420000
5114,Maruti,6,70695,Dealer,Diesel,Manual,28.4,1248,74,5,525000
5115,Hyundai,3,30000,Individual,Petrol,Manual,13,1591,121.3,5,1100000
5116,Honda,4,10000,Dealer,Petrol,Automatic,18,1497,117.6,5,1225000
5117,Ford,7,30000,Individual,Petrol,Manual,15.6,1196,70.02,5,295000
5118,Maruti,12,70000,Individual,Petrol,Manual,19.7,796,46.3,5,165000
5119,Maruti,8,50000,Individual,Petrol,Manual,18.6,1197,85.8,5,300000
5121,Maruti,7,101374,Dealer,Diesel,Manual,23.4,1248,74,5,530000
5122,Hyundai,2,25000,Individual,Petrol,Manual,18.9,1197,81.86,5,550000
5123,Ford,6,69000,Dealer,Diesel,Manual,22.77,1498,98.59,5,615000
5125,Jaguar,10,70000,Dealer,Diesel,Automatic,14.74,2993,270.9,5,1550000
5126,Honda,6,128000,Dealer,Diesel,Manual,26,1498,98.6,5,600000
5127,Honda,5,95066,Dealer,Petrol,Manual,17.4,1497,117.6,5,580000
5128,Hyundai,2,15000,Individual,Petrol,Manual,18.27,998,118.35,5,958000
5129,Maruti,8,71233,Dealer,Diesel,Manual,28.4,1248,74,5,440000
5130,Honda,4,29000,Dealer,Petrol,Manual,17.8,1497,117.3,5,1025000
5131,Maruti,3,33000,Dealer,Petrol,Manual,16.11,1196,72.42,5,350000
5133,Hyundai,6,63168,Dealer,Petrol,Manual,19.81,1086,68.05,5,385000
5134,Tata,4,10000,Individual,Diesel,Manual,17.6,2179,147.94,7,1150000
5135,Hyundai,3,25645,Dealer,Diesel,Manual,22.54,1396,88.73,5,780000
5137,Hyundai,11,90000,Dealer,Petrol,Manual,20.36,1197,78.9,5,275000
5138,Hyundai,11,97845,Dealer,Diesel,Manual,23,1396,90,5,320000
5139,Mahindra,3,47000,Dealer,Diesel,Manual,16.36,2179,138.13,7,1550000
5140,Maruti,8,85000,Dealer,Petrol,Manual,20.85,1197,83.14,5,475000
5142,Mahindra,9,75000,Dealer,Diesel,Manual,15.96,2523,62.1,7,435000
5144,Honda,10,79418,Dealer,Petrol,Manual,17,1497,118,5,440000
5147,Ford,8,92000,Dealer,Diesel,Manual,22.7,1498,89.84,5,430000
5148,Maruti,5,32903,Dealer,Petrol,Manual,23.95,998,67.05,5,347000
5150,Hyundai,5,88098,Dealer,Diesel,Manual,21.9,1396,90,5,660000
5151,Maruti,7,81000,Dealer,Diesel,Manual,28.4,1248,74,5,475000
5152,Maruti,5,98000,Dealer,Petrol,Automatic,21.4,1197,83.1,5,575000
5153,Maruti,9,42000,Dealer,Petrol,Manual,19.7,796,46.3,5,211000
5154,Maruti,8,55002,Dealer,Diesel,Manual,26.59,1248,74,5,550000
5155,Hyundai,5,88000,Dealer,Diesel,Automatic,17.01,1582,126.2,5,1249000
5156,Maruti,5,100000,Individual,Diesel,Manual,25.2,1248,74,5,535000
5157,Mercedes-Benz,13,99000,Dealer,Diesel,Automatic,14.84,2143,170,5,995000
5158,Maruti,7,50000,Dealer,Petrol,Manual,18.6,1197,85.8,5,500000
5160,Hyundai,2,15000,Dealer,Diesel,Manual,23.7,1396,88.7,5,1175000
5161,Mercedes-Benz,3,48000,Dealer,Diesel,Automatic,11,2987,258,7,6600000
5162,Hyundai,13,90000,Individual,Diesel,Manual,16.8,1493,110,5,190000
5163,Datsun,6,30000,Individual,Petrol,Manual,20.63,1198,67.06,5,200000
5164,Maruti,8,40580,Dealer,Petrol,Manual,22.74,796,47.3,5,224000
5165,Volkswagen,7,79000,Dealer,Diesel,Manual,22.07,1199,73.9,5,440000
5166,Hyundai,8,70000,Individual,Petrol,Manual,17.01,1591,121.3,5,430000
5167,Ford,2,13133,Dealer,Diesel,Manual,24.4,1498,98.63,5,880000
5168,Maruti,5,51577,Dealer,Diesel,Manual,24.3,1248,88.5,5,768000
5169,Maruti,11,80000,Individual,Petrol,Manual,19.7,796,46.3,5,164000
5170,Mahindra,7,136542,Dealer,Diesel,Manual,15.4,2179,120,7,725000
5171,Maruti,8,138000,Dealer,Diesel,Manual,25.47,1248,88.5,7,690000
5172,Hyundai,14,60000,Individual,Petrol,Manual,17.8,1086,63,5,155000
5173,Ford,5,56393,Dealer,Diesel,Manual,22.77,1498,98.59,5,700000
5174,Mercedes-Benz,8,140000,Dealer,Diesel,Automatic,14.21,2143,203,5,1500000
5175,Hyundai,8,131000,Individual,Diesel,Manual,21.27,1396,88.76,5,430000
5176,Tata,3,70000,Individual,Diesel,Manual,27.28,1047,69,5,410000
5177,Maruti,3,13666,Dealer,Diesel,Automatic,24.3,1248,88.5,5,939000
5178,Hyundai,5,62000,Dealer,Diesel,Manual,22.54,1396,88.73,5,580000
5179,Renault,5,34000,Dealer,Petrol,Manual,23.01,999,67,5,385000
5180,BMW,5,96500,Dealer,Diesel,Automatic,19.59,1995,184,5,2500000
5181,Hyundai,3,10000,Individual,Petrol,Manual,18.9,1197,81.86,5,515000
5182,Renault,8,49400,Dealer,Diesel,Manual,19.01,1461,108.45,5,570000
5183,Mahindra,13,198000,Individual,Diesel,Manual,10.5,2179,120,7,350000
5184,Tata,3,65000,Dealer,Diesel,Manual,14.1,2179,153.86,7,950000
5185,Honda,3,60000,Dealer,Diesel,Manual,25.5,1498,98.6,5,800000
5186,Ford,10,75000,Dealer,Diesel,Manual,20,1399,68.05,5,325000
5187,BMW,11,95000,Dealer,Diesel,Automatic,11.7,2993,245,5,1899000
5188,Maruti,10,120000,Individual,Diesel,Manual,19.3,1248,73.9,5,350000
